codes	variant_count	freq	main	total	total_label	platforms	orientation	sub
PVS1	1	~0%	1	108	(108)	Clingen_vs_SEQ	up	main
PVS1	107	~0%	1	108	(108)	Clingen_vs_SEQ	up	total
PS1	8	~72%	8	11	(11)	Clingen_vs_SEQ	up	main
PS1	3	~72%	8	11	(11)	Clingen_vs_SEQ	up	total
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM1	142	~73%	142	193	(193)	Clingen_vs_SEQ	up	main
PM1	51	~73%	142	193	(193)	Clingen_vs_SEQ	up	total
PM2	62	~9%	62	665	(665)	Clingen_vs_SEQ	up	main
PM2	603	~9%	62	665	(665)	Clingen_vs_SEQ	up	total
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM5	162	~61%	162	263	(263)	Clingen_vs_SEQ	up	main
PM5	101	~61%	162	263	(263)	Clingen_vs_SEQ	up	total
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP2	24	~61%	24	39	(39)	Clingen_vs_SEQ	up	main
PP2	15	~61%	24	39	(39)	Clingen_vs_SEQ	up	total
PP3	96	~18%	96	516	(516)	Clingen_vs_SEQ	up	main
PP3	420	~18%	96	516	(516)	Clingen_vs_SEQ	up	total
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP5	636	~100%	636	636	(636)	Clingen_vs_SEQ	up	main
PP5	0	~100%	636	636	(636)	Clingen_vs_SEQ	up	total
BA1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BA1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BS1	1	~100%	1	1	(1)	Clingen_vs_SEQ	up	main
BS1	0	~100%	1	1	(1)	Clingen_vs_SEQ	up	total
BS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
