codes	variant_count	freq	main	total	total_label	platforms	orientation	sub
PVS1	6	~30%	6	20	(20)	Clingen_vs_SEQ	up	main
PVS1	14	~30%	6	20	(20)	Clingen_vs_SEQ	up	total
PS1	3	~100%	3	3	(3)	Clingen_vs_SEQ	up	main
PS1	0	~100%	3	3	(3)	Clingen_vs_SEQ	up	total
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM1	102	~63%	102	162	(162)	Clingen_vs_SEQ	up	main
PM1	60	~63%	102	162	(162)	Clingen_vs_SEQ	up	total
PM2	200	~26%	200	767	(767)	Clingen_vs_SEQ	up	main
PM2	567	~26%	200	767	(767)	Clingen_vs_SEQ	up	total
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM4	0	~0%	0	1	(1)	Clingen_vs_SEQ	up	main
PM4	1	~0%	0	1	(1)	Clingen_vs_SEQ	up	total
PM5	112	~70%	112	160	(160)	Clingen_vs_SEQ	up	main
PM5	48	~70%	112	160	(160)	Clingen_vs_SEQ	up	total
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP2	58	~79%	58	73	(73)	Clingen_vs_SEQ	up	main
PP2	15	~79%	58	73	(73)	Clingen_vs_SEQ	up	total
PP3	246	~37%	246	659	(659)	Clingen_vs_SEQ	up	main
PP3	413	~37%	246	659	(659)	Clingen_vs_SEQ	up	total
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP5	14	~100%	14	14	(14)	Clingen_vs_SEQ	up	main
PP5	0	~100%	14	14	(14)	Clingen_vs_SEQ	up	total
BA1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BA1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BS1	93	~89%	93	104	(104)	Clingen_vs_SEQ	up	main
BS1	11	~89%	93	104	(104)	Clingen_vs_SEQ	up	total
BS2	2	~66%	2	3	(3)	Clingen_vs_SEQ	up	main
BS2	1	~66%	2	3	(3)	Clingen_vs_SEQ	up	total
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP4	123	~70%	123	174	(174)	Clingen_vs_SEQ	up	main
BP4	51	~70%	123	174	(174)	Clingen_vs_SEQ	up	total
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP6	20	~100%	20	20	(20)	Clingen_vs_SEQ	up	main
