codes	variant_count	freq	main	total	total_label	platforms	orientation	sub
PVS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PVS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM2	3	~100%	3	3	(3)	Clingen_vs_SEQ	up	main
PM2	0	~100%	3	3	(3)	Clingen_vs_SEQ	up	total
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP2	24	~85%	24	28	(28)	Clingen_vs_SEQ	up	main
PP2	4	~85%	24	28	(28)	Clingen_vs_SEQ	up	total
PP3	27	~90%	27	30	(30)	Clingen_vs_SEQ	up	main
PP3	3	~90%	27	30	(30)	Clingen_vs_SEQ	up	total
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BA1	0	~0%	0	58	(58)	Clingen_vs_SEQ	up	main
BA1	58	~0%	0	58	(58)	Clingen_vs_SEQ	up	total
BS1	383	~89%	383	430	(430)	Clingen_vs_SEQ	up	main
BS1	47	~89%	383	430	(430)	Clingen_vs_SEQ	up	total
BS2	167	~88%	167	188	(188)	Clingen_vs_SEQ	up	main
BS2	21	~88%	167	188	(188)	Clingen_vs_SEQ	up	total
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP4	100	~69%	100	143	(143)	Clingen_vs_SEQ	up	main
BP4	43	~69%	100	143	(143)	Clingen_vs_SEQ	up	total
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP6	480	~100%	480	480	(480)	Clingen_vs_SEQ	up	main
BP6	0	~100%	480	480	(480)	Clingen_vs_SEQ	up	total
BP7	106	~74%	106	143	(143)	Clingen_vs_SEQ	up	main
BP7	37	~74%	106	143	(143)	Clingen_vs_SEQ	up	total
PVS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PVS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PS4	2	~100%	2	2	(2)	Clingen_vs_SEQ	down	main
PS4	0	~100%	2	2	(2)	Clingen_vs_SEQ	down	total
PM1	4	~100%	4	4	(4)	Clingen_vs_SEQ	down	main
PM1	0	~100%	4	4	(4)	Clingen_vs_SEQ	down	total
PM2	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PM2	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PM4	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PM4	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PM5	1	~100%	1	1	(1)	Clingen_vs_SEQ	down	main
PM5	0	~100%	1	1	(1)	Clingen_vs_SEQ	down	total
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PP1	2	~100%	2	2	(2)	Clingen_vs_SEQ	down	main
PP1	0	~100%	2	2	(2)	Clingen_vs_SEQ	down	total
PP2	0	~0%	0	4	(4)	Clingen_vs_SEQ	down	main
PP2	4	~0%	0	4	(4)	Clingen_vs_SEQ	down	total
PP3	1	~25%	1	4	(4)	Clingen_vs_SEQ	down	main
PP3	3	~25%	1	4	(4)	Clingen_vs_SEQ	down	total
PP4	1	~100%	1	1	(1)	Clingen_vs_SEQ	down	main
PP4	0	~100%	1	1	(1)	Clingen_vs_SEQ	down	total
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BA1	385	~86%	385	443	(443)	Clingen_vs_SEQ	down	main
BA1	58	~86%	385	443	(443)	Clingen_vs_SEQ	down	total
BS1	1	~2%	1	48	(48)	Clingen_vs_SEQ	down	main
BS1	47	~2%	1	48	(48)	Clingen_vs_SEQ	down	total
BS2	58	~73%	58	79	(79)	Clingen_vs_SEQ	down	main
BS2	21	~73%	58	79	(79)	Clingen_vs_SEQ	down	total
BS3	30	~100%	30	30	(30)	Clingen_vs_SEQ	down	main
BS3	0	~100%	30	30	(30)	Clingen_vs_SEQ	down	total
BS4	5	~100%	5	5	(5)	Clingen_vs_SEQ	down	main
BS4	0	~100%	5	5	(5)	Clingen_vs_SEQ	down	total
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP2	88	~100%	88	88	(88)	Clingen_vs_SEQ	down	main
BP2	0	~100%	88	88	(88)	Clingen_vs_SEQ	down	total
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP4	61	~58%	61	104	(104)	Clingen_vs_SEQ	down	main
BP4	43	~58%	61	104	(104)	Clingen_vs_SEQ	down	total
BP5	25	~100%	25	25	(25)	Clingen_vs_SEQ	down	main
BP5	0	~100%	25	25	(25)	Clingen_vs_SEQ	down	total
BP6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP7	27	~42%	27	64	(64)	Clingen_vs_SEQ	down	main
BP7	37	~42%	27	64	(64)	Clingen_vs_SEQ	down	total
PVS1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PVS1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PS1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PS1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PS2	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PS2	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PS3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PS3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PS4	2	~100%	2	2	(2)	Clingen_vs_Franklin	up	main
PS4	0	~100%	2	2	(2)	Clingen_vs_Franklin	up	total
PM1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PM1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PM2	61	~100%	61	61	(61)	Clingen_vs_Franklin	up	main
PM2	0	~100%	61	61	(61)	Clingen_vs_Franklin	up	total
PM3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PM3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PM4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
