codes	variant_count	freq	main	total	total_label	platforms	orientation	sub
PVS1	9	~2%	9	451	(451)	Clingen_vs_SEQ	up	main
PVS1	442	~2%	9	451	(451)	Clingen_vs_SEQ	up	total
PS1	31	~79%	31	39	(39)	Clingen_vs_SEQ	up	main
PS1	8	~79%	31	39	(39)	Clingen_vs_SEQ	up	total
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM1	364	~65%	364	554	(554)	Clingen_vs_SEQ	up	main
PM1	190	~65%	364	554	(554)	Clingen_vs_SEQ	up	total
PM2	338	~15%	338	2190	(2190)	Clingen_vs_SEQ	up	main
PM2	1852	~15%	338	2190	(2190)	Clingen_vs_SEQ	up	total
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM4	0	~0%	0	2	(2)	Clingen_vs_SEQ	up	main
PM4	2	~0%	0	2	(2)	Clingen_vs_SEQ	up	total
PM5	451	~65%	451	688	(688)	Clingen_vs_SEQ	up	main
PM5	237	~65%	451	688	(688)	Clingen_vs_SEQ	up	total
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP2	158	~59%	158	265	(265)	Clingen_vs_SEQ	up	main
PP2	107	~59%	158	265	(265)	Clingen_vs_SEQ	up	total
PP3	487	~29%	487	1672	(1672)	Clingen_vs_SEQ	up	main
PP3	1185	~29%	487	1672	(1672)	Clingen_vs_SEQ	up	total
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP5	1390	~100%	1390	1390	(1390)	Clingen_vs_SEQ	up	main
PP5	0	~100%	1390	1390	(1390)	Clingen_vs_SEQ	up	total
BA1	0	~0%	0	58	(58)	Clingen_vs_SEQ	up	main
BA1	58	~0%	0	58	(58)	Clingen_vs_SEQ	up	total
BS1	555	~75%	555	734	(734)	Clingen_vs_SEQ	up	main
BS1	179	~75%	555	734	(734)	Clingen_vs_SEQ	up	total
BS2	173	~88%	173	196	(196)	Clingen_vs_SEQ	up	main
BS2	23	~88%	173	196	(196)	Clingen_vs_SEQ	up	total
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP4	353	~68%	353	512	(512)	Clingen_vs_SEQ	up	main
BP4	159	~68%	353	512	(512)	Clingen_vs_SEQ	up	total
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP6	842	~100%	842	842	(842)	Clingen_vs_SEQ	up	main
BP6	0	~100%	842	842	(842)	Clingen_vs_SEQ	up	total
BP7	137	~51%	137	267	(267)	Clingen_vs_SEQ	up	main
BP7	130	~51%	137	267	(267)	Clingen_vs_SEQ	up	total
PVS1	19	~4%	19	461	(461)	Clingen_vs_SEQ	down	main
PVS1	442	~4%	19	461	(461)	Clingen_vs_SEQ	down	total
PS1	11	~57%	11	19	(19)	Clingen_vs_SEQ	down	main
PS1	8	~57%	11	19	(19)	Clingen_vs_SEQ	down	total
PS2	122	~100%	122	122	(122)	Clingen_vs_SEQ	down	main
PS2	0	~100%	122	122	(122)	Clingen_vs_SEQ	down	total
PS3	442	~100%	442	442	(442)	Clingen_vs_SEQ	down	main
PS3	0	~100%	442	442	(442)	Clingen_vs_SEQ	down	total
PS4	732	~100%	732	732	(732)	Clingen_vs_SEQ	down	main
PS4	0	~100%	732	732	(732)	Clingen_vs_SEQ	down	total
PM1	374	~66%	374	564	(564)	Clingen_vs_SEQ	down	main
PM1	190	~66%	374	564	(564)	Clingen_vs_SEQ	down	total
PM2	157	~7%	157	2009	(2009)	Clingen_vs_SEQ	down	main
PM2	1852	~7%	157	2009	(2009)	Clingen_vs_SEQ	down	total
PM3	710	~100%	710	710	(710)	Clingen_vs_SEQ	down	main
PM3	0	~100%	710	710	(710)	Clingen_vs_SEQ	down	total
PM4	12	~85%	12	14	(14)	Clingen_vs_SEQ	down	main
PM4	2	~85%	12	14	(14)	Clingen_vs_SEQ	down	total
PM5	44	~15%	44	281	(281)	Clingen_vs_SEQ	down	main
PM5	237	~15%	44	281	(281)	Clingen_vs_SEQ	down	total
PM6	126	~100%	126	126	(126)	Clingen_vs_SEQ	down	main
PM6	0	~100%	126	126	(126)	Clingen_vs_SEQ	down	total
PP1	392	~100%	392	392	(392)	Clingen_vs_SEQ	down	main
PP1	0	~100%	392	392	(392)	Clingen_vs_SEQ	down	total
PP2	109	~50%	109	216	(216)	Clingen_vs_SEQ	down	main
PP2	107	~50%	109	216	(216)	Clingen_vs_SEQ	down	total
PP3	86	~6%	86	1271	(1271)	Clingen_vs_SEQ	down	main
PP3	1185	~6%	86	1271	(1271)	Clingen_vs_SEQ	down	total
PP4	1054	~100%	1054	1054	(1054)	Clingen_vs_SEQ	down	main
PP4	0	~100%	1054	1054	(1054)	Clingen_vs_SEQ	down	total
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BA1	388	~87%	388	446	(446)	Clingen_vs_SEQ	down	main
BA1	58	~87%	388	446	(446)	Clingen_vs_SEQ	down	total
BS1	49	~21%	49	228	(228)	Clingen_vs_SEQ	down	main
BS1	179	~21%	49	228	(228)	Clingen_vs_SEQ	down	total
BS2	208	~90%	208	231	(231)	Clingen_vs_SEQ	down	main
BS2	23	~90%	208	231	(231)	Clingen_vs_SEQ	down	total
BS3	161	~100%	161	161	(161)	Clingen_vs_SEQ	down	main
BS3	0	~100%	161	161	(161)	Clingen_vs_SEQ	down	total
BS4	14	~100%	14	14	(14)	Clingen_vs_SEQ	down	main
BS4	0	~100%	14	14	(14)	Clingen_vs_SEQ	down	total
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP2	115	~100%	115	115	(115)	Clingen_vs_SEQ	down	main
BP2	0	~100%	115	115	(115)	Clingen_vs_SEQ	down	total
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP4	239	~60%	239	398	(398)	Clingen_vs_SEQ	down	main
BP4	159	~60%	239	398	(398)	Clingen_vs_SEQ	down	total
BP5	59	~100%	59	59	(59)	Clingen_vs_SEQ	down	main
BP5	0	~100%	59	59	(59)	Clingen_vs_SEQ	down	total
BP6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP7	70	~35%	70	200	(200)	Clingen_vs_SEQ	down	main
BP7	130	~35%	70	200	(200)	Clingen_vs_SEQ	down	total
PVS1	20	~4%	20	422	(422)	Clingen_vs_Franklin	up	main
PVS1	402	~4%	20	422	(422)	Clingen_vs_Franklin	up	total
PS1	49	~90%	49	54	(54)	Clingen_vs_Franklin	up	main
PS1	5	~90%	49	54	(54)	Clingen_vs_Franklin	up	total
PS2	0	~0%	0	101	(101)	Clingen_vs_Franklin	up	main
PS2	101	~0%	0	101	(101)	Clingen_vs_Franklin	up	total
PS3	0	~0%	0	362	(362)	Clingen_vs_Franklin	up	main
PS3	362	~0%	0	362	(362)	Clingen_vs_Franklin	up	total
PS4	16	~2%	16	599	(599)	Clingen_vs_Franklin	up	main
PS4	583	~2%	16	599	(599)	Clingen_vs_Franklin	up	total
