codes	variant_count	freq	main	total	total_label	platforms	orientation	sub
PVS1	2	~0%	2	323	(323)	Clingen_vs_SEQ	up	main
PVS1	321	~0%	2	323	(323)	Clingen_vs_SEQ	up	total
PS1	20	~80%	20	25	(25)	Clingen_vs_SEQ	up	main
PS1	5	~80%	20	25	(25)	Clingen_vs_SEQ	up	total
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM1	120	~60%	120	199	(199)	Clingen_vs_SEQ	up	main
PM1	79	~60%	120	199	(199)	Clingen_vs_SEQ	up	total
PM2	46	~6%	46	685	(685)	Clingen_vs_SEQ	up	main
PM2	639	~6%	46	685	(685)	Clingen_vs_SEQ	up	total
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM4	0	~0%	0	1	(1)	Clingen_vs_SEQ	up	main
PM4	1	~0%	0	1	(1)	Clingen_vs_SEQ	up	total
PM5	171	~66%	171	259	(259)	Clingen_vs_SEQ	up	main
PM5	88	~66%	171	259	(259)	Clingen_vs_SEQ	up	total
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP2	28	~28%	28	99	(99)	Clingen_vs_SEQ	up	main
PP2	71	~28%	28	99	(99)	Clingen_vs_SEQ	up	total
PP3	68	~16%	68	404	(404)	Clingen_vs_SEQ	up	main
PP3	336	~16%	68	404	(404)	Clingen_vs_SEQ	up	total
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP5	740	~100%	740	740	(740)	Clingen_vs_SEQ	up	main
PP5	0	~100%	740	740	(740)	Clingen_vs_SEQ	up	total
BA1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BA1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BS1	2	~100%	2	2	(2)	Clingen_vs_SEQ	up	main
BS1	0	~100%	2	2	(2)	Clingen_vs_SEQ	up	total
BS2	2	~100%	2	2	(2)	Clingen_vs_SEQ	up	main
BS2	0	~100%	2	2	(2)	Clingen_vs_SEQ	up	total
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP4	28	~100%	28	28	(28)	Clingen_vs_SEQ	up	main
BP4	0	~100%	28	28	(28)	Clingen_vs_SEQ	up	total
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP7	2	~100%	2	2	(2)	Clingen_vs_SEQ	up	main
BP7	0	~100%	2	2	(2)	Clingen_vs_SEQ	up	total
PVS1	10	~3%	10	331	(331)	Clingen_vs_SEQ	down	main
PVS1	321	~3%	10	331	(331)	Clingen_vs_SEQ	down	total
PS1	10	~66%	10	15	(15)	Clingen_vs_SEQ	down	main
PS1	5	~66%	10	15	(15)	Clingen_vs_SEQ	down	total
PS2	96	~100%	96	96	(96)	Clingen_vs_SEQ	down	main
PS2	0	~100%	96	96	(96)	Clingen_vs_SEQ	down	total
PS3	285	~100%	285	285	(285)	Clingen_vs_SEQ	down	main
PS3	0	~100%	285	285	(285)	Clingen_vs_SEQ	down	total
PS4	339	~100%	339	339	(339)	Clingen_vs_SEQ	down	main
PS4	0	~100%	339	339	(339)	Clingen_vs_SEQ	down	total
PM1	121	~60%	121	200	(200)	Clingen_vs_SEQ	down	main
PM1	79	~60%	121	200	(200)	Clingen_vs_SEQ	down	total
PM2	65	~9%	65	704	(704)	Clingen_vs_SEQ	down	main
PM2	639	~9%	65	704	(704)	Clingen_vs_SEQ	down	total
PM3	300	~100%	300	300	(300)	Clingen_vs_SEQ	down	main
PM3	0	~100%	300	300	(300)	Clingen_vs_SEQ	down	total
PM4	5	~83%	5	6	(6)	Clingen_vs_SEQ	down	main
PM4	1	~83%	5	6	(6)	Clingen_vs_SEQ	down	total
PM5	26	~22%	26	114	(114)	Clingen_vs_SEQ	down	main
PM5	88	~22%	26	114	(114)	Clingen_vs_SEQ	down	total
PM6	88	~100%	88	88	(88)	Clingen_vs_SEQ	down	main
PM6	0	~100%	88	88	(88)	Clingen_vs_SEQ	down	total
PP1	227	~100%	227	227	(227)	Clingen_vs_SEQ	down	main
PP1	0	~100%	227	227	(227)	Clingen_vs_SEQ	down	total
PP2	43	~37%	43	114	(114)	Clingen_vs_SEQ	down	main
PP2	71	~37%	43	114	(114)	Clingen_vs_SEQ	down	total
PP3	24	~6%	24	360	(360)	Clingen_vs_SEQ	down	main
PP3	336	~6%	24	360	(360)	Clingen_vs_SEQ	down	total
PP4	438	~100%	438	438	(438)	Clingen_vs_SEQ	down	main
PP4	0	~100%	438	438	(438)	Clingen_vs_SEQ	down	total
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BA1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BA1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BS1	3	~100%	3	3	(3)	Clingen_vs_SEQ	down	main
BS1	0	~100%	3	3	(3)	Clingen_vs_SEQ	down	total
BS2	9	~100%	9	9	(9)	Clingen_vs_SEQ	down	main
BS2	0	~100%	9	9	(9)	Clingen_vs_SEQ	down	total
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BS4	2	~100%	2	2	(2)	Clingen_vs_SEQ	down	main
BS4	0	~100%	2	2	(2)	Clingen_vs_SEQ	down	total
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP2	1	~100%	1	1	(1)	Clingen_vs_SEQ	down	main
BP2	0	~100%	1	1	(1)	Clingen_vs_SEQ	down	total
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP7	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP7	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PVS1	3	~1%	3	293	(293)	Clingen_vs_Franklin	up	main
PVS1	290	~1%	3	293	(293)	Clingen_vs_Franklin	up	total
PS1	29	~90%	29	32	(32)	Clingen_vs_Franklin	up	main
PS1	3	~90%	29	32	(32)	Clingen_vs_Franklin	up	total
PS2	0	~0%	0	81	(81)	Clingen_vs_Franklin	up	main
PS2	81	~0%	0	81	(81)	Clingen_vs_Franklin	up	total
PS3	0	~0%	0	233	(233)	Clingen_vs_Franklin	up	main
PS3	233	~0%	0	233	(233)	Clingen_vs_Franklin	up	total
PS4	3	~1%	3	274	(274)	Clingen_vs_Franklin	up	main
PS4	271	~1%	3	274	(274)	Clingen_vs_Franklin	up	total
PM1	167	~51%	167	326	(326)	Clingen_vs_Franklin	up	main
PM1	159	~51%	167	326	(326)	Clingen_vs_Franklin	up	total
PM2	71	~10%	71	683	(683)	Clingen_vs_Franklin	up	main
PM2	612	~10%	71	683	(683)	Clingen_vs_Franklin	up	total
PM3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PM3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PM4	0	~0%	0	1	(1)	Clingen_vs_Franklin	up	main
PM4	1	~0%	0	1	(1)	Clingen_vs_Franklin	up	total
PM5	175	~70%	175	249	(249)	Clingen_vs_Franklin	up	main
PM5	74	~70%	175	249	(249)	Clingen_vs_Franklin	up	total
PM6	0	~0%	0	82	(82)	Clingen_vs_Franklin	up	main
PM6	82	~0%	0	82	(82)	Clingen_vs_Franklin	up	total
PP1	0	~0%	0	181	(181)	Clingen_vs_Franklin	up	main
PP1	181	~0%	0	181	(181)	Clingen_vs_Franklin	up	total
PP2	210	~70%	210	300	(300)	Clingen_vs_Franklin	up	main
PP2	90	~70%	210	300	(300)	Clingen_vs_Franklin	up	total
PP3	59	~16%	59	362	(362)	Clingen_vs_Franklin	up	main
PP3	303	~16%	59	362	(362)	Clingen_vs_Franklin	up	total
PP4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PP4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PP5	679	~100%	679	679	(679)	Clingen_vs_Franklin	up	main
PP5	0	~100%	679	679	(679)	Clingen_vs_Franklin	up	total
BA1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BA1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BS1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BS1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BS2	1	~100%	1	1	(1)	Clingen_vs_Franklin	up	main
BS2	0	~100%	1	1	(1)	Clingen_vs_Franklin	up	total
BS3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BS3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BS4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BS4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP2	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP2	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP5	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP5	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP6	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP6	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP7	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP7	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
