index	precision	recall	f1-score	platform
PVS1	0.9800443458980045	0.9587852494577006	0.969298245614035	seq
PS1	0.20512820512820512	0.42105263157894735	0.2758620689655173	seq
PM1	0.34296028880866425	0.33687943262411346	0.3398926654740608	seq
PM2	0.845662100456621	0.9218516674962668	0.8821147892355322	seq
PM4	1.0	0.14285714285714285	0.25	seq
PM5	0.3444767441860465	0.8434163701067615	0.4891640866873065	seq
PP2	0.4037735849056604	0.49537037037037035	0.4449064449064449	seq
PP3	0.708732057416268	0.932336742722266	0.8053007135575944	seq
BA1	1.0	0.13004484304932734	0.23015873015873015	seq
BS1	0.2438692098092643	0.7850877192982456	0.3721413721413721	seq
BS2	0.11734693877551021	0.09956709956709957	0.10772833723653397	seq
BP4	0.310546875	0.39949748743718594	0.34945054945054943	seq
BP7	0.4868913857677903	0.65	0.5567451820128481	seq
PVS1	0.95260663507109	0.8720173535791758	0.9105322763306908	franklin
PS1	0.09259259259259259	0.2631578947368421	0.136986301369863	franklin
PS2	1.0	0.8278688524590164	0.9058295964125561	franklin
PS3	1.0	0.8190045248868778	0.900497512437811	franklin
PS4	0.9732888146911519	0.796448087431694	0.8760330578512396	franklin
PM1	0.37062256809338523	0.675531914893617	0.47864321608040206	franklin
PM2	0.6976744186046512	0.8810353409656545	0.7787065552133743	franklin
PM4	1.0	0.14285714285714285	0.25	franklin
PM5	0.2825112107623318	0.6725978647686833	0.3978947368421052	franklin
PM6	1.0	0.9126984126984127	0.9543568464730291	franklin
PP1	1.0	0.7857142857142857	0.88	franklin
PP2	0.12951334379905807	0.7638888888888888	0.22147651006711405	franklin
PP3	0.7561317449194114	0.8489378442171518	0.7998517420311342	franklin
BA1	0.9395161290322581	0.5224215246636771	0.6714697406340058	franklin
BS1	0.27555555555555555	0.2719298245614035	0.2737306843267109	franklin
BS2	0.16533333333333333	0.2683982683982684	0.20462046204620463	franklin
BS3	1.0	0.9254658385093167	0.9612903225806452	franklin
BP4	0.4857142857142857	0.2135678391959799	0.29668411867364747	franklin
BP7	0.3651452282157676	0.88	0.5161290322580645	franklin
